id,question,question_en,topic_id,origin_id,submission_id,created_at
74,"Apa nasihat orang tua yang sering kamu abaikan, tapi sebenarnya kamu tahu itu benar?","What is your parents' advice that you often ignore, but you actually know it's a valid one?",1,1,,
75,"Deskripsikan padaku gambaran ""surga"" yang ada di pikiranmu.","Describe me what ""heaven"" would be like for you.",1,1,,
76,Aku bisa melakukan __________ lebih baik daripada kebanyakan orang di sekitarku.,I can do __________ better than most people around me.,1,1,,
77,Apa saran paling buruk yang pernah seseorang berikan kepada kamu?,What's the worst advice someone has ever given you?,1,1,,
78,Apa hal paling romantis yang pernah dilakukan seseorang untuk kamu/kamu lakukan untuk seseorang?,What's the most romantic thing someone has ever done to you/you have done for someone?,1,1,,
79,Apa pujian terbaik yang pernah kamu terima?,What is the best compliment you have ever received?,1,1,,
80,Bagaimana cara kamu menunjukkan rasa sayang kepada sesorang?,How do you show your affection to someone?,1,1,,
81,Apa alasan paling konyol yang pernah membuat kamu bertengkar dengan pasangan?,What is the most ridiculous reason that got you in a fight with your partner?,1,1,,
82,Apa opinimu soal perselingkuhan? Apakah menurutmu orang yang pernah berselingkuh bisa dimaafkan?,What do you think about cheating on a partner? Do you think that someone who has had an affair can be forgiven?,1,1,,
83,Apa opinimu soal memiliki privasi masing-masing di dalam sebuah hubungan?,What do you think about privacy in a relationship?,1,1,,
84,"Menurut kamu, apa kunci keberhasilan suatu hubungan?","In your opinion, what is the key to a successful relationship?",1,1,,
85,"Dengan skala satu sampai sepuluh, seberapa bahagia dengan kehidupanmu saat ini?","In a scale of one to ten, how happy are you with your life right now? And how so?",1,1,,
86,"Menurutmu, apakah kamu orang yang selalu menepati janji?","In your opinion, are you a person who always keeps their promises?",1,1,,
87,Mana yang kamu pilih: pengalaman baik atau pengalaman menarik?,Which one do you prefer: good experience or interesting experience?,1,1,,
88,"Kalau manusia bisa terlahir kembali, apakah kamu akan memilih untuk terlahir dengan jenis kelamin yang sama?","If humans could be reborn, would you choose to be reborn with the same gender?",1,1,,
89,Seberapa pentingkah pernikahan bagimu? Apakah menikah itu sebuah keharusan? Atau pilihan?,How important is marriage to you? Is marriage a must? Or choice?,1,1,,
90,Situasi seperti apa yang pernah membuat kamu merasa sangat kesepian? Dan bagaimana kamu mengatasinya?,What kind of situations have you ever felt very lonely? And how do you deal with it?,1,1,,
91,"Menurutmu, apakah cinta itu datang secara instan atau tumbuh bertahap seiring waktu?",Do you think love comes instantaneously? Or grows gradually over time?,2,1,,
92,Bagaimana cara paling mudah untuk membuatmu marah?,What's the easiest way to make you angry?,1,1,,
93,"Jika ada alasan mengapa seseorang tidak menyukaimu, kira-kira apa alasan tersebut?","If there's a reason why someone doesn't like you, what would it be?",1,1,,
94,Apa hal yang paling kamu cintai dari dirimu sendiri?,What is the thing you love most about yourself?,2,1,,
95,Seberapa cepat kamu dapat mengambil sebuah keputusan?,How quickly can you make a decision?,1,1,,
96,Apa definisi hari terbaik versi kamu?,What is your definition of the best day?,1,2,,
97,Pada saat apakah kamu mengalami titik balik dalam hidup?,At what time did you experience a turning point in your life?,1,2,,
98,"Pekerjaan apa yang seakan terlihat gampang, namun sebenarnya susah?","What kind of work seems easy, but is actually hard to do?",4,2,,
99,Apa pendapatmu tentang aplikasi kencan?,What do you think about dating apps?,1,2,,
100,Pesan apa yang masih kamu ingat dari seseorang yang tidak kamu kenal?,What message do you remember from someone you don't know?,1,2,,
101,Seperti apa rumah impian kamu?,What is your dream house like?,1,2,,
102,Alat musik apa yang sangat kamu ingin pelajari?,What musical instrument would you most like to learn?,3,2,,
103,Apa yang akan kamu lakukan jika ada seseorang yang menerobos antrianmu?,"When someone breaks into your queue, what would you do?",1,2,,
104,Seberapa jauh kamu pernah tersesat saat bepergian ke suatu tempat?,How far have you ever been lost while traveling somewhere?,1,2,,
105,Alasan apa yang sering kamu pakai untuk membatalkan janji dengan temanmu?,What excuses do you often use to cancel appointments with your friends?,1,2,,
106,Apa yang sedang menghantui pikiranmu saat ini?,What's haunting your mind right now?,1,2,,
107,Apakah kamu pernah terkunci dari luar ruangan? Bagaimana ceritanya?,Have you ever been locked out of the room? How did it happen?,1,2,,
108,Apa permainan favorit masa kecilmu?,What was your favorite childhood game?,1,2,,
109,Bagaimana pendapat kamu tentang orang yang suka mengumbar spoiler film?,What do you think about people who likes to spill movie spoilers?,5,2,,2021-10-17T04:00:40+00:00
110,"Bagaimana pendapatmu tentang sikap ""nggak enakan""?","What do you think about ""people-pleasing"" trait?",1,2,,2021-10-17T04:00:40+00:00
111,Bagaimana cara kamu membawa diri ketika kamu datang ke sebuah pesta seorang diri tanpa mengenal siapapun?,How do you handle yourself when you come to a party alone without knowing anyone?,1,2,,2021-10-17T04:00:40+00:00
112,Bagaimana perasaanmu ketika seseorang membatalkan janjinya di menit-menit terakhir?,How do you feel when someone cancels their appointment at the last minute?,1,2,,2021-10-17T04:00:40+00:00
113,Janji apa yang paling susah kamu pegang?,What promise is the hardest for you to keep?,1,2,,2021-10-17T04:00:40+00:00
114,Barang apa yang kamu miliki yang sering hilang?,What items do you have that are often lost?,1,2,,2021-10-17T04:00:40+00:00
115,Hal sepele apa yang seringkali terlupakan namun bermakna?,What trivial things that are often forgotten but meaningful?,1,2,,2021-10-17T04:00:40+00:00
116,Kesialan apa yang pernah menyelamatkan nyawa kamu?,What misfortune has saved your life?,1,2,,2021-10-17T04:00:40+00:00
117,Kemampuan dasar apa yang harus dimiliki oleh setiap orang?,What basic skills should everyone have?,1,2,,2021-10-17T04:00:40+00:00
118,Apa prinsipmu sebelum membeli sesuatu?,What do you consider before buying something?,1,2,,2021-10-17T04:00:40+00:00
119,"Apa mimpi ter-""absurd"" yang masih kamu ingat?",What is the most absurd dream that you still remember?,1,2,,2021-10-17T04:00:40+00:00
120,Seberapa penting validasi dari orang lain bagimu?,How important is validation from others to you?,1,2,1,2021-10-17T10:04:40+00:00
121,Siapa orang yang ingin kamu jumpai akhir-akhir ini?,Who is the person do you want to meet recently?,1,2,,2021-10-17T14:33:35+00:00
122,Apa dilema terbesar kamu?,What is your biggest dilemma?,1,2,,2021-10-19T08:32:06+00:00
123,Kapan kamu pernah merasa berada dalam posisi serba salah?,When have you ever felt like you were in the wrong place?,1,2,,2021-10-19T08:32:06+00:00
124,Hal sederhana apa yang bisa membuat kamu terlihat lebih atraktif?,What simple things can make you look more attractive?,1,2,,2021-10-21T02:44:04+00:00
125,Adegan film apa yang bikin hati kamu ambyar?,What movie scene made your heart broken?,5,2,,2021-10-21T02:44:04+00:00
126,Apa yang pertama kali kamu lakukan saat bangun tidur?,What's the first thing you do when you wake up?,1,2,,2021-10-21T02:44:04+00:00
127,Barang termahal apa yang pernah kamu hancurkan saat masih kecil? ,What was the most expensive item you broke as a child?,1,2,,2021-10-21T02:44:04+00:00
128,Hal apa yang tidak pantas dibicarakan pada acara pemakaman?,What is not appropriate to talk about at a funeral?,1,2,,2021-10-21T02:44:04+00:00
129,Apa yang sempat populer tetapi tidak lama kemudian kita tidak pernah mendengarnya lagi?,What was once popular but soon we never hear about it again?,1,2,,2021-10-21T02:44:04+00:00
130,"Jika terjadi bencana, barang apa yang pertama kali akan kamu selamatkan?","In the event of a disaster, what item will you save first?",1,2,,2021-10-21T02:44:04+00:00
131,"Kalo internet tidak ada, apa yang kamu lakukan pada jam segini?","If there is no internet, what are you doing at this hour?",1,2,,2021-10-21T02:44:04+00:00
132,Apa saja yang perlu diperhatikan saat berada di jamuan makan?,What should you pay attention to when you are at a banquet?,1,2,,2021-10-21T02:44:04+00:00
133,Dalam hal apa kamu sangat berhati-hati dalam beropini?,In what ways are you very careful in voicing your opinion?,1,2,,2021-10-21T02:44:04+00:00
134,Pada saat apakah kamu merasa sangat produktif?,When do you feel most productive?,1,2,,2021-10-21T02:44:04+00:00
135,Barang apa yang sering kamu lupa bawa saat bepergian?,What items do you often forget to take with you when you travel?,1,2,,2021-10-21T02:44:04+00:00
136,Film apa yang membuat kamu mengantuk?,What movies make you sleepy?,5,2,,2021-10-21T02:44:04+00:00
137,"Jika ada serbuan zombie, apa yang akan kamu ambil sebagai senjata dari barang di sekitarmu?","If there is a zombie attack, what will you take from the things around you as a weapon?",1,2,,2021-10-21T02:44:04+00:00
138,"Apa ""achievement"" manusia yang ingin kamu lihat seumur hidup kamu?",What human achievement would you like to see in your lifetime?,1,2,,2021-10-21T02:44:04+00:00
139,Genre musik apa yang tidak mungkin kamu sukai dan mengapa?,What genres of music are you unlikely to like and why?,3,2,,2021-10-21T02:44:04+00:00
140,"Jika kamu bisa mengganti nama kamu, apa nama barumu?","If you could change your name, what would your new name be?",1,2,,2021-10-21T02:44:04+00:00
141,"Siapa tokoh antagonis film atau novel yang menurut kamu ""reasonable"" untuk menjadi jahat?",Who is movie or novel antagonist that you think is reasonable to be evil?,5,2,,2021-10-21T02:44:04+00:00
142,Kesan pertama apa yang paling sering orang lain ungkapkan ke kamu ketika bertemu?,What are the first impressions people give you the most when they meet you?,1,2,,2021-10-21T04:15:07+00:00
143,Trik sulap apa yang pernah membuat kamu terheran-heran?,What magic tricks have you ever wondered about?,1,2,,2021-10-21T04:15:07+00:00
144,"Teori konspirasi apa yang membuat kamu berpikir,""Gimana kalau ini emang beneran?""","What conspiracy theory makes you think, ""What if this really exists?""",1,2,,2021-10-21T04:15:07+00:00
145,Apa yang membuat kamu tertawa hari ini?,What made you laugh today?,1,2,,2021-10-21T04:15:07+00:00
146,"Jika kamu dapat kembali ke suatu hari dan menjalaninya tanpa mengubah satu hal pun, kapankah itu?","If you could go back to one day and live it without changing a thing, when would it be?",1,2,,2021-10-21T04:15:07+00:00
147,"Apa hal yang pernah sangat kamu cintai, namun perlahan pudar seiring berjalannya waktu?","What is something you once loved very much, but slowly faded over time?",2,2,,2021-10-21T04:15:07+00:00
148,Bagaimana kamu mempersiapkan hari tuamu?,"How do you prepare to ""age well""?",1,2,,2021-10-21T04:15:07+00:00
149,"Menurut kamu, seberapa efektif tes MBTI dalam menilai kepribadian seseorang?",How effective is the MBTI test in assessing a person's personality?,1,2,,2021-10-21T04:47:52+00:00
150,"Sifat apa yang biasanya diromantisasi dalam suatu hubungan, padahal sifat itu sangat toxic?","What trait is usually romanticized in a relationship, when in fact it is very toxic?",2,2,,2021-10-21T04:47:52+00:00
151,Hewan apa yang bakal lebih seram kalau punya sayap?,What animal would be scarier if it had wings?,1,2,,2021-10-21T05:55:14+00:00
152,Apa yang pernah kamu remehkan namun ternyata berdampak besar dalam kehidupan kamu?,What have you taken for granted but turned out to have a big impact on your life?,1,2,,2021-10-21T05:55:14+00:00
153,"Semisal ada festival musik antarplanet, musisi atau band apa yang akan kamu kirim mewakili bumi?","If there is an interplanetary music festival, what musicians or bands would you send to represent the earth?",3,2,,2021-10-22T05:17:44+00:00
154,"Apakah kamu pernah mengalami ""Near-death experience""? Bagaimana kejadiannya?","Have you ever had a ""Near-death experience""? How did it happen?",1,2,8,2021-10-22T16:00:50+00:00
155,Bagaimana pendapatmu tentang reinkarnasi?,What do you think about reincarnation?,1,2,9,2021-10-22T16:00:50+00:00
156,Apa pekerjaan impianmu saat masih sekolah?,What was your dream job while still in school?,4,2,10,2021-10-22T16:00:50+00:00
